Som van Train Accuracy;Kolomlabels;;;;;;Som van Train Accuracy;Kolomlabels;;;;;;;;;;;
Rijlabels;0.0001;0.001;0.01;0.1;(leeg);;Rijlabels;1;2;4;9;10;16;32;50;100;512;1000;(leeg)
resnet18;;;;;;;resnet18;;;;;;;;;;;;
Train;;;;;;;Train;;;;;;;;;;;;
3;;97,36;;;;;3;;;;;;;97,36;;;;;
16;;71,21;;;;;16;;71,21;;;;;;;;;;
21;;;;35,1;;;21;;35,1;;;;;;;;;;
Train_big_data;;;;;;;Train_big_data;;;;;;;;;;;;
1;100;;;;;;1;;;;;;;;;100;;;
2;;99,21;;;;;2;;;;;;;;;99,21;;;
4;;99,69;;;;;4;;;;;;;;99,69;;;;
5;99,27;;;;;;5;;;;;99,27;;;;;;;
6;;97,07;;;;;6;;;;;97,07;;;;;;;
15;;;;51,66;;;15;51,66;;;;;;;;;;;
Train_clean;;;;;;;Train_clean;;;;;;;;;;;;
11;99,13;;;;;;11;;;;;;;;;;99,13;;
12;;66,67;;;;;12;;66,67;;;;;;;;;;
13;;69,28;;;;;13;;;69,28;;;;;;;;;
14;;58,26;;;;;14;;58,26;;;;;;;;;;
Train_clean_2;;;;;;;Train_clean_2;;;;;;;;;;;;
9;;97,13;;;;;9;;;;;;;;97,13;;;;
Train_gezond;;;;;;;Train_gezond;;;;;;;;;;;;
7;;95,64;;;;;7;;;;;;;;95,64;;;;
8;;;82,97;;;;8;;;;82,97;;;;;;;;
Team model;;;;;;;Team model;;;;;;;;;;;;
Train;;;;;;;Train;;;;;;;;;;;;
10;63,46;;;;;;10;;;;;;;;;;;63,46;
17;;55,66;;;;;17;;;;;;55,66;;;;;;
18;;36,3;;;;;18;;36,3;;;;;;;;;;
19;;;30,29;;;;19;30,29;;;;;;;;;;;
20;;;22,6;;;;20;22,6;;;;;;;;;;;
22;;;25,72;;;;22;25,72;;;;;;;;;;;
23;;;28,21;;;;23;;28,21;;;;;;;;;;
24;;;28,98;;;;24;;28,98;;;;;;;;;;
25;;;26,68;;;;25;26,68;;;;;;;;;;;
(leeg);;;;;;;(leeg);;;;;;;;;;;;
(leeg);;;;;;;(leeg);;;;;;;;;;;;
(leeg);;;;;;;(leeg);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Train_gezond = good apple/bad apple;;;;;;;;;;;;;;;;;;;
Train = original dataset;;;;;;;;;;;;;;;;;;;
Train _clean = cleaning operation Hans - Marina (zie verslag);;;;;;;;;;;;;;;;;;;
Train_clean_2 = Train_clean + extra cleaning operation Hossein;;;;;;;;;;;;;;;;;;;
Train_big_data = Kaggle dataset;;;;;;;;;;;;;;;;;;;
